Honda Accord VII Рестайлинг,475 000 ₽,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,коричневый,2007,196 000 км,1100532938
Honda Civic  VIII Рестайлинг Hybrid,435 000 ₽,1.3 л / 95 л.с. / Гибрид,вариатор,седан,передний,серебристый,2010,152 000 км,1100181572
Honda Pilot II,900 000 ₽,3.5 л / 257 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,2008,180 000 км,1093909232
Honda Civic Ferio III,249 000 ₽,1.5 л / 115 л.с. / Бензин,автомат,седан,полный,белый,2001,160 800 км,1099621522
Honda Civic  VIII Hybrid,420 000 ₽,1.3 л / 95 л.с. / Гибрид,вариатор,седан,передний,чёрный,2008,170 790 км,1084108815
Honda Accord V,150 000 ₽,2.0 л / 131 л.с. / Бензин,механика,седан,передний,синий,1998,290 000 км,1100567766
Honda Civic VIII Рестайлинг,525 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,коричневый,2009,200 000 км,1099565758
Honda Civic VI,180 000 ₽,1.5 л / 90 л.с. / Бензин,механика,седан,передний,чёрный,1997,330 000 км,1100123794
Honda Accord Type-S VII Рестайлинг Type S,565 000 ₽,2.4 л / 190 л.с. / Бензин,автомат,седан,передний,чёрный,2007,250 000 км,1094710746
Honda HR-V I,250 000 ₽,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,белый,2000,220 000 км,1098444854
Honda Civic VIII,375 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,красный,2008,152 200 км,1097665566
Honda Accord VI,300 000 ₽,3.0 л / 200 л.с. / Бензин,автомат,купе,передний,зелёный,1998,305 893 км,1100422366
Honda Civic Ferio I,60 000 ₽,1.3 л / 85 л.с. / Бензин,автомат,седан,передний,синий,1993,100 000 км,1099591166
Honda Civic VIII,350 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,красный,2008,248 000 км,1097715158
Honda Civic VI,200 000 ₽,1.5 л / 115 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,зелёный,1998,254 000 км,1099559046
Honda Domani II,230 000 ₽,1.6 л / 120 л.с. / Бензин,автомат,седан,передний,фиолетовый,1997,275 000 км,1099893310
Honda Accord IV,70 000 ₽,2.0 л / 110 л.с. / Бензин,механика,седан,передний,серебристый,1991,470 500 км,1082557638
Honda Civic VIII,380 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,2006,199 000 км,1098345708
Honda HR-V I Рестайлинг,330 000 ₽,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,красный,2003,218 000 км,1091493928
Honda Accord VIII,650 000 ₽,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,чёрный,2008,153 000 км,1097963694
Honda Civic VIII,410 000 ₽,1.8 л / 140 л.с. / Бензин,механика,седан,передний,серебристый,2006,142 880 км,1098793764
Honda Civic VIII,340 000 ₽,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,синий,2007,166 000 км,1091147940
Honda Accord VIII Рестайлинг,840 000 ₽,2.4 л / 200 л.с. / Бензин,автомат,седан,передний,серебристый,2011,154 000 км,1098546418
Honda Civic VIII,470 000 ₽,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,чёрный,2008,183 000 км,1095466368
